modelID,brand,modelName,type,composition,gauge_mm
1,Babolat,RPM Blast 17,Monofilament,Co-polyester,1.25
2,Wilson,Luxilon Big Banger ALU Power 16,Monofilament,Aluminium,1.25
3,Tecnifibre,NRG2 17,Multifilament,Elastyl Fiber,1.24
4,Solinco,Hyper-G 19,Monofilament,Co-polyester,1.1
5,Wilson,NXT Control 16,Hybrid,Polyester,1.32
6,Prince,Synthetic Gut Dura Flex 16,Multifilament,Nylon,1.3
7,Head,Rip Control 17,Multifilament,Polyolefin,1.25
8,Head,Hawk 16L,Monofilament,Co-polymer,1.3
9,Wilson,Luxilon 4G 16,Monofilament,Co-polyester,1.3
10,Babolat,VS Touch 16,Gut,Gut,1.3
11,Wilson,Luxilon Big Banger ALU Power 16L,Monofilament,Aluminium,1.3
12,Wilson,Luxilon Adrenaline Rough 16L,Monofilament,Co-polymer,1.3
13,Wilson,Luxilon Big Banger Original 16,Monofilament,Co-polymer,1.3
14,Tecnifibre,Razor Code 17,Monofilament,Co-polymer,1.25
15,Babolat,RPM Power 17,Monofilament,Co-polymer,1.25
16,Babolat,RPM Blast 16,Monofilament,Co-polyester,1.3
17,Yonex,Poly Tour Pro 17,Monofilament,Polyester,1.2
18,Head,Hawk 17,Monofilament,Co-polymer,1.25
19,Wilson,Luxilon 4G 16L,Monofilament,Co-polyester,1.25
20,Isospeed,Black Fire 17,Monofilament,Co-polyester,1.25
21,Wilson,Luxilon Element 16L,Monofilament,Co-polymer,1.25
22,Prince,Tour XC 16L,Monofilament,Polyester,1.27
23,Signum Pro,Firestorm 17,Monofilament,Co-polyester,1.2
24,Wilson,Luxilon M2 Pro 16L,Multifilament,Polyester,1.25
25,Yonex,Poly Tour Pro 18,Monofilament,Polyester,1.15
26,Poly Star,Energy 16,Monofilament,Polyester,1.3
27,Babolat,RPM Blast 15L,Monofilament,Co-polyester,1.35
28,Wilson,Luxilon Big Banger ALU Power 17,Monofilament,Aluminium,1.2
