player,height_m,weight_kg,racketLength_cm,racketWeight_g,balance_cm,swingWeight_kgxcm2,recoilWeight_kgxcm2,polarization,mgr_i,strings,stringID,backhandHands,racketID
Alexander Zverev,1.98,90,68.6,343,33,360,178.6,0.52,20.1,Head Hawk 16L,8,2,13
Alexei Popyrin,1.96,78,68.6,338,32.8,370,194.3,0.57,19.48,Luxilon 4G 16,9,2,87
Andre Agassi,1.8,80,68.5,366.6,32.7,351,162,0.44,21.22,VS Touch 16,10,2,1
Andy Murray,1.91,82,68.5,353,33.2,358,168,0.48,20.63,ALU Power 16L,11,2,1
Andy Roddick,1.88,88,69.8,345,p,360,182.2,0.53,20.07,VS Touch 16,10,2,10
Andrey Rublev,1.88,75,68.5,359,31,335,176.7,0.49,20.92,Adrenaline Rough 16L,12,2,9
Aslan Karatsev,1.85,85,68.5,340,32,340,175.4,0.52,20.37,Head Hawk 16L,8,2,39
Borna Coric,1.88,85,68.5,353,33.2,355,165,0.47,20.74,ALU Power 16L,11,2,28
Cameron Norrie,1.88,82,68.5,346,32,324,156.5,0.45,21.25,ALU Power 16L,11,2,119
Carlos Moya,1.9,86,68.5,322,37.5,408,164,0.51,19.2,Luxilon Big Banger Original 16,13,1,125
Daniil Medvedev,1.98,83,68.5,355,31.6,340,174.4,0.49,20.8,Razor Code 17,14,2,126
David Ferrer,1.75,73,70.7,350.1,33.4,368,176.7,0.5,20.22,ALU Power 16L,11,2,127
David Nalbandian,1.8,79,69.8,377,32.3,377,189.5,0.5,20.49,Luxilon Big Banger Original 16,13,2,148
Dominic Thiem,1.85,79,68.5,339,32.2,345,177.9,0.52,20.22,RPM Power 17,15,1,119
Ernests Gulbis,1.91,85,68.5,349,32.6,350,171.7,0.49,20.56,ALU Power 16L,11,2,15
Fabio Fognini,1.78,79,68.5,342,33.4,346,158.5,0.46,20.74,Rpm Blast 16,16,2,10
Felix A. Aliassime,1.93,88,68.5,340,33,345,165.1,0.49,20.55,Rpm Blast 16,16,2,129
Frances Tiafoe,1.88,86,68.5,335,33,330,152.8,0.46,20.94,Poly Tour Pro 17,17,2,71
Gael Monfils,1.93,85,69.8,361,31,345,185.8,0.51,20.6,ALU Power 16L,11,2,82
Goran Ivanisevic,1.93,82,68.5,379,31.5,356,180.8,0.48,21.02,Head Hawk 17,18,2,13
Grigor Dimitrov,1.91,81,68.5,352,33.5,367,172.6,0.49,20.37,Luxilon 4G 16L,19,1,15
Hyeon Chung,1.88,89,68.5,351,31.9,335,166.7,0.47,20.96,ALU Power 16L,11,2,72
Ivo Karlovic,2.11,104,68.5,362.9,31.8,375,202.3,0.56,19.88,ALU Power 16L,11,1,39
Jack Sock,1.9,88,68.5,336,32,332,169.4,0.5,20.53,VS Touch 16,10,2,129
Jo-Wilfried Tsonga,1.88,93,69.8,341,32.7,340,164.3,0.48,20.67,ALU Power 16L,11,2,76
Juan Martin Del Potro,1.98,97,69.7,367,31.4,355,186.9,0.51,20.59,ALU Power 16L,11,2,15
Jurgen Melzer,1.83,80,70.4,331,33.2,337,159.6,0.48,20.56,Isospeed Black Fire 17,20,2,17
Karen Kachanov,1.98,87,68.5,336,32.6,341,169.4,0.5,20.4,ALU Power 16L,11,2,133
Kei Nishikori,1.78,73,70.4,343,32.9,355,175.1,0.51,20.25,Element 16L,21,2,28
Kevin Anderson,2.03,94,68.5,370.9,31.7,353,177.6,0.48,20.94,ALU Power 16L,11,2,17
Lleyton Hewitt,1.78,77,68.5,369.7,31.5,343,171.3,0.46,21.21,ALU Power 16L,11,2,22
Lucas Pouille,1.85,81,68.5,348,32.6,351,173.3,0.5,20.48,Prince Tour XC 16L,22,2,60
Matteo Berrettini,1.96,95,68.5,353,33.2,353,163,0.46,20.81,Signum Pro Firestorm 17,23,2,81
Milos Raonic,1.96,98,68.5,346,33.1,357,172.6,0.5,20.35,Luxilon M2 Pro 16L,24,2,133
Nick Kyrgios,1.93,85,68.5,342,31.9,323,159,0.46,21.1,Poly Tour Pro 18,25,2,22
Nikolay Davydenko,1.78,72,70,346,33.2,352,165.8,0.48,20.59,PolyStar Energy 16,26,2,17
Novak Djokovic,1.88,77,69,357,32.5,364,183.3,0.51,20.3,ALU Power 16L,11,2,41
Patrick Rafter,1.85,86,68.5,360,32.4,355,175.2,0.49,20.69,VS Touch 16,10,1,189
Rafael Nadal,1.85,85,68.6,343,33.7,367,174.3,0.51,20.1,RPM Blast 15L,27,2,129
Rickard Gasquet,1.83,79,68.5,361,32.4,381,199.9,0.55,19.81,Luxilon BB Original 16,13,1,81
Robin Soderling,1.93,87,68.9,362.5,33.4,384,186.1,0.51,20.11,ALU Power 16L,11,1,39
Roger Federer,1.85,85,68.5,366,31.6,344,173.2,0.47,21.05,ALU Power 16L,11,1,15
Stanislas Wawrinka,1.83,81,68.5,375,32.3,360,174.3,0.46,21.01,RPM Blast 17,1,1,71
Stefanos Tsitsipas,1.93,89,68.6,334,32.9,343,167.8,0.5,20.35,Luxilon 4G 16L,19,1,133
Taylor Fritz,1.93,86,68.5,321,34,355,170.1,0.53,19.77,Head Hawk 16L,8,2,109
Tennys Sandgren,1.88,88,68.5,350,32.8,350,168.1,0.48,20.67,ALU Power 16L,11,2,133
Thomas Berdych,1.96,91,68.5,369,31.8,362,186.6,0.51,20.55,ALU Power 17,28,2,24
Tommy Haas,1.88,84,68.5,359,31.6,352,184,0.51,20.5,VS Touch 16,10,1,1
Yoshiito Nishioka,1.7,64,68.5,343,31.3,311,155.4,0.45,21.42,VS Touch 16,10,2,37
